ninodes       = 32768
nzones        = 16384
imap_blocks   = 2
zmap_blocks   = 1
firstdatazone = 517
log_zone_size = 0
maxsize       = 2147483647
block size    = 4096


 inode permission link   size name
   312 brw-------   1    8,19 /dev/c1d5
   313 brw-------   1    8,1a /dev/c1d5p0
   314 brw-------   1    8,d0 /dev/c1d5p0s0
   315 brw-------   1    8,d1 /dev/c1d5p0s1
   316 brw-------   1    8,d2 /dev/c1d5p0s2
   317 brw-------   1    8,d3 /dev/c1d5p0s3
   318 brw-------   1    8,1b /dev/c1d5p1
   319 brw-------   1    8,d4 /dev/c1d5p1s0
   320 brw-------   1    8,d5 /dev/c1d5p1s1
   321 brw-------   1    8,d6 /dev/c1d5p1s2
   322 brw-------   1    8,d7 /dev/c1d5p1s3
   323 brw-------   1    8,1c /dev/c1d5p2
   324 brw-------   1    8,d8 /dev/c1d5p2s0
   325 brw-------   1    8,d9 /dev/c1d5p2s1
   326 brw-------   1    8,da /dev/c1d5p2s2
   327 brw-------   1    8,db /dev/c1d5p2s3
   328 brw-------   1    8,1d /dev/c1d5p3
   329 brw-------   1    8,dc /dev/c1d5p3s0
   330 brw-------   1    8,dd /dev/c1d5p3s1
   331 brw-------   1    8,de /dev/c1d5p3s2
   332 brw-------   1    8,df /dev/c1d5p3s3
   333 brw-------   1    8,1e /dev/c1d6
   334 brw-------   1    8,1f /dev/c1d6p0
   335 brw-------   1    8,e0 /dev/c1d6p0s0
   336 brw-------   1    8,e1 /dev/c1d6p0s1
   337 brw-------   1    8,e2 /dev/c1d6p0s2
   338 brw-------   1    8,e3 /dev/c1d6p0s3
   339 brw-------   1    8,20 /dev/c1d6p1
   340 brw-------   1    8,e4 /dev/c1d6p1s0
   341 brw-------   1    8,e5 /dev/c1d6p1s1
   342 brw-------   1    8,e6 /dev/c1d6p1s2
   343 brw-------   1    8,e7 /dev/c1d6p1s3
   344 brw-------   1    8,21 /dev/c1d6p2
   345 brw-------   1    8,e8 /dev/c1d6p2s0
   346 brw-------   1    8,e9 /dev/c1d6p2s1
   347 brw-------   1    8,ea /dev/c1d6p2s2
   348 brw-------   1    8,eb /dev/c1d6p2s3
   349 brw-------   1    8,22 /dev/c1d6p3
   350 brw-------   1    8,ec /dev/c1d6p3s0
   351 brw-------   1    8,ed /dev/c1d6p3s1
   352 brw-------   1    8,ee /dev/c1d6p3s2
   353 brw-------   1    8,ef /dev/c1d6p3s3
   354 brw-------   1    8,23 /dev/c1d7
   355 brw-------   1    8,24 /dev/c1d7p0
   356 brw-------   1    8,f0 /dev/c1d7p0s0
   357 brw-------   1    8,f1 /dev/c1d7p0s1
   358 brw-------   1    8,f2 /dev/c1d7p0s2
   359 brw-------   1    8,f3 /dev/c1d7p0s3
   360 brw-------   1    8,25 /dev/c1d7p1
   361 brw-------   1    8,f4 /dev/c1d7p1s0
   362 brw-------   1    8,f5 /dev/c1d7p1s1
   363 brw-------   1    8,f6 /dev/c1d7p1s2
   364 brw-------   1    8,f7 /dev/c1d7p1s3
   365 brw-------   1    8,26 /dev/c1d7p2
   366 brw-------   1    8,f8 /dev/c1d7p2s0
   367 brw-------   1    8,f9 /dev/c1d7p2s1
   368 brw-------   1    8,fa /dev/c1d7p2s2
   369 brw-------   1    8,fb /dev/c1d7p2s3
   370 brw-------   1    8,27 /dev/c1d7p3
   371 brw-------   1    8,fc /dev/c1d7p3s0
   372 brw-------   1    8,fd /dev/c1d7p3s1
   373 brw-------   1    8,fe /dev/c1d7p3s2
   374 brw-------   1    8,ff /dev/c1d7p3s3
   375 crw--w----   1    4, 0 /dev/console
     4 crw-------   2    7, 1 /dev/eth
     4 crw-------   2    7, 1 /dev/eth0
   377 brw-rw-rw-   1    2, 0 /dev/fd0
   378 brw-rw-rw-   1    2,70 /dev/fd0p0
   379 brw-rw-rw-   1    2,74 /dev/fd0p1
   380 brw-rw-rw-   1    2,78 /dev/fd0p2
   381 brw-rw-rw-   1    2,7c /dev/fd0p3
   382 brw-rw-rw-   1    2, 1 /dev/fd1
   383 brw-rw-rw-   1    2,71 /dev/fd1p0
   384 brw-rw-rw-   1    2,75 /dev/fd1p1
   385 brw-rw-rw-   1    2,79 /dev/fd1p2
   386 brw-rw-rw-   1    2,7d /dev/fd1p3
   387 brw-r--r--   1    b, 0 /dev/filter
   388 crw-r--r--   1   11, 0 /dev/hello
   389 brw-------   1    1, 6 /dev/imgrd
     5 crw-------   2    7, 2 /dev/ip
     5 crw-------   2    7, 2 /dev/ip0
   391 crw-rw----   1    4,7f /dev/kbd
   392 crw-rw----   1    4,7e /dev/kbdaux
   393 crw-------   1    f, 0 /dev/klog
   394 crw-r-----   1    1, 2 /dev/kmem
   395 c-w--w--w-   1    4, f /dev/log
   396 c-w-------   1    6, 0 /dev/lp
   397 crw-r-----   1    1, 1 /dev/mem
   398 lrwxrwxrwx   1      11 /dev/mouse
   399 crw-rw-rw-   1    1, 3 /dev/null
   400 crw-rw-rw-   1    4,c0 /dev/ptyp0
   401 crw-rw-rw-   1    4,c1 /dev/ptyp1
   402 crw-rw-rw-   1    4,c2 /dev/ptyp2
   403 crw-rw-rw-   1    4,c3 /dev/ptyp3
   404 crw-rw-rw-   1    4,c4 /dev/ptyp4
   405 crw-rw-rw-   1    4,c5 /dev/ptyp5
   406 crw-rw-rw-   1    4,c6 /dev/ptyp6
   407 crw-rw-rw-   1    4,c7 /dev/ptyp7
   408 crw-rw-rw-   1    4,c8 /dev/ptyp8
   409 crw-rw-rw-   1    4,c9 /dev/ptyp9
   410 crw-rw-rw-   1    4,ca /dev/ptypa
   411 crw-rw-rw-   1    4,cb /dev/ptypb
   412 crw-rw-rw-   1    4,cc /dev/ptypc
   413 crw-rw-rw-   1    4,cd /dev/ptypd
   414 crw-rw-rw-   1    4,ce /dev/ptype
   415 crw-rw-rw-   1    4,cf /dev/ptypf
   416 crw-rw-rw-   1    4,d0 /dev/ptyq0
   417 crw-rw-rw-   1    4,d1 /dev/ptyq1
   418 crw-rw-rw-   1    4,d2 /dev/ptyq2
   419 crw-rw-rw-   1    4,d3 /dev/ptyq3
   420 crw-rw-rw-   1    4,d4 /dev/ptyq4
   421 crw-rw-rw-   1    4,d5 /dev/ptyq5
   422 crw-rw-rw-   1    4,d6 /dev/ptyq6
   423 crw-rw-rw-   1    4,d7 /dev/ptyq7
   424 crw-rw-rw-   1    4,d8 /dev/ptyq8
   425 crw-rw-rw-   1    4,d9 /dev/ptyq9
   426 crw-rw-rw-   1    4,da /dev/ptyqa
   427 crw-rw-rw-   1    4,db /dev/ptyqb
   428 crw-rw-rw-   1    4,dc /dev/ptyqc
   429 crw-rw-rw-   1    4,dd /dev/ptyqd
   430 crw-rw-rw-   1    4,de /dev/ptyqe
   431 crw-rw-rw-   1    4,df /dev/ptyqf
   432 brw-------   1    1, 0 /dev/ram
   433 brw-------   1    1, 7 /dev/ram0
   434 brw-------   1    1, 8 /dev/ram1
   435 brw-------   1    1, 9 /dev/ram2
   436 brw-------   1    1, a /dev/ram3
   437 brw-------   1    1, b /dev/ram4
   438 brw-------   1    1, c /dev/ram5
   439 crw-r--r--   1   10, 0 /dev/random
   376 crw-rw-rw-   2    7, 3 /dev/tcp
   376 crw-rw-rw-   2    7, 3 /dev/tcp0
   441 crw-rw-rw-   1    5, 0 /dev/tty
   442 crw-rw-rw-   1    4,10 /dev/tty00
   443 crw-rw-rw-   1    4,11 /dev/tty01
   444 crw-rw-rw-   1    4,12 /dev/tty02
   445 crw-rw-rw-   1    4,13 /dev/tty03
   446 crw-------   1    4, 1 /dev/ttyc1
   447 crw-------   1    4, 2 /dev/ttyc2
   448 crw-------   1    4, 3 /dev/ttyc3
   449 crw-rw-rw-   1    4,80 /dev/ttyp0
   450 crw-rw-rw-   1    4,81 /dev/ttyp1
   451 crw-rw-rw-   1    4,82 /dev/ttyp2
   452 crw-rw-rw-   1    4,83 /dev/ttyp3
   453 crw-rw-rw-   1    4,84 /dev/ttyp4
   454 crw-rw-rw-   1    4,85 /dev/ttyp5
   455 crw-rw-rw-   1    4,86 /dev/ttyp6
   456 crw-rw-rw-   1    4,87 /dev/ttyp7
   457 crw-rw-rw-   1    4,88 /dev/ttyp8
   458 crw-rw-rw-   1    4,89 /dev/ttyp9
   459 crw-rw-rw-   1    4,8a /dev/ttypa
   460 crw-rw-rw-   1    4,8b /dev/ttypb
   461 crw-rw-rw-   1    4,8c /dev/ttypc
   462 crw-rw-rw-   1    4,8d /dev/ttypd
   463 crw-rw-rw-   1    4,8e /dev/ttype
   464 crw-rw-rw-   1    4,8f /dev/ttypf
   465 crw-rw-rw-   1    4,90 /dev/ttyq0
   466 crw-rw-rw-   1    4,91 /dev/ttyq1
   467 crw-rw-rw-   1    4,92 /dev/ttyq2
   468 crw-rw-rw-   1    4,93 /dev/ttyq3
   469 crw-rw-rw-   1    4,94 /dev/ttyq4
   470 crw-rw-rw-   1    4,95 /dev/ttyq5
   471 crw-rw-rw-   1    4,96 /dev/ttyq6
   472 crw-rw-rw-   1    4,97 /dev/ttyq7
   473 crw-rw-rw-   1    4,98 /dev/ttyq8
   474 crw-rw-rw-   1    4,99 /dev/ttyq9
   475 crw-rw-rw-   1    4,9a /dev/ttyqa
   476 crw-rw-rw-   1    4,9b /dev/ttyqb
   477 crw-rw-rw-   1    4,9c /dev/ttyqc
   478 crw-rw-rw-   1    4,9d /dev/ttyqd
   479 crw-rw-rw-   1    4,9e /dev/ttyqe
   480 crw-rw-rw-   1    4,9f /dev/ttyqf
   390 crw-rw-rw-   2    7, 4 /dev/udp
   390 crw-rw-rw-   2    7, 4 /dev/udp0
   482 crw-rw-rw-   1   12, 0 /dev/uds
   483 crw-r--r--   1   10, 0 /dev/urandom
   484 crw-------   1    4,7d /dev/video
   485 crw-r--r--   1    1, 5 /dev/zero
   440 crw-rw-rw-   1    7, 0 /dev/ipstat
   486 drwxr-xr-x   3    2112 /etc
